_dataobs_,Pool,Horses,Sold_Price,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
17624,None,N,985000,Chandler,3513,5,2001,3,3,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,15359,Detached,Cash
17625,Private,N,972650,Scottsdale,3490,4,1985,4,3,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,39360,Detached,Cash
17626,None,Y,945000,Scottsdale,3400,7,1995,6,5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,48,48,108900,Detached,Other
17627,Both,N,785000,Scottsdale,2179,4,1989,3,2,1,1,Laguna,Mountainside,Desert Mountain High,48,48,8222,Detached,Conventional
17628,Private,N,775000,Scottsdale,3383,6,1989,5,3,2,2,Desert Springs,Desert Shadows Scott,Horizon,69,69,9479,Detached,Cash
17630,Private,N,740000,Tempe,3550,6,1981,4,3,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,18021,Detached,Conventional
17631,Community,N,715000,Scottsdale,2113,3,2018,3,3,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,4796,Detached,Other
17632,Private,N,665000,Fountain Hills,2837,4,1998,4,3,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,10168,Detached,Cash
17633,Private,N,645000,Scottsdale,2134,4,1980,4,2,1,1,Kiva,Mohave,Saguaro High,48,48,9164,Detached,Conventional
17634,Private,N,640000,Scottsdale,2168,3,1959,3,2,1,1,Cochise,Cocopah,Chaparral High,48,48,43478,Detached,Cash
17635,Private,N,630000,Chandler,2514,4,2016,3,2.5,1,1,Santan Elementary,Santan Junior High,Perry,80,80,7890,Detached,Cash
17637,Community,N,600000,Scottsdale,1813,3,1993,2,2,1,1,Kiva,Mohave,Saguaro High,48,48,4165,Detached,Cash
