_dataobs_,Pool,Horses,Sold_Price,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
244,None,N,655000,Scottsdale,1796,3,1994,3,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,5150,Detached,Conventional
245,Community,N,645000,Chandler,2324,4,2019,4,3,2,2,Kyrene de las Manita,Kyrene del Pueblo,Mountain Pointe,28,213,3150,Detached,VA
246,None,N,599990,Chandler,2020,4,1999,4,2,1,1,Basha Elementary Sch,Bogle Junior High,Hamilton,80,80,7611,Detached,Conventional
249,Private,N,580000,Tempe,1626,3,1969,3,2,1,1,Ward,Connolly,McClintock,3,213,8237,Detached,Conventional
251,None,N,570000,Tempe,2047,5,1968,5,3,1,1,Hudson,Connolly,McClintock,3,213,10376,Detached,Conventional
254,None,N,485000,Chandler,1746,4,2004,3,2,1,1,Navarrete,Willie & Coy Payne J,Basha High,80,80,7371,Detached,Cash
255,None,N,425000,Tempe,1350,3,1977,3,2,1,1,Frank Elementary Sch,Gililland,Tempe High School,3,210,6003,Detached,Conventional
257,Private,N,1245000,Scottsdale,2407,5,1979,4,2,1,1,Sequoya,Cocopah,Chaparral High,48,48,17862,Detached,Conventional
258,Private,N,1100000,Scottsdale,2735,5,1994,5,3,2,2,Desert Mountain,Desert Mountain Elem,Desert Mountain,48,48,7665,Detached,Conventional
259,Private,N,1049000,Chandler,4684,9,2013,7,5,2,2,Audrey and Robert Ry,Willie & Coy Payne J,Basha High,80,80,10025,Detached,Other
260,Private,N,1005000,Scottsdale,2289,4,1993,4,2,1,1,Copper Canyon,Sunrise Middle,Horizon School,69,69,8458,Detached,Cash
261,Private,N,981000,Scottsdale,2465,4,1987,4,2.5,1,1,North Ranch,Desert Shadows,Horizon School,69,69,10491,Detached,Conventional
262,Community,N,878000,Scottsdale,2353,3,2019,3,2.5,3,2,Tonalea,Tonalea,Coronado High,48,48,2364,Attached,Cash
263,Private,Y,715000,Scottsdale,2320,5,1973,4,3.5,3,2,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,14084,Detached,Cash
264,Private,N,640000,Scottsdale,1736,3,1977,3,2,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,11086,Detached,Cash
265,Private,N,615000,Scottsdale,1441,2,1987,2,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,4587,Detached,Cash
266,Private,N,608000,Scottsdale,1812,3,1990,3,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain,48,48,4624,Detached,Conventional
267,None,Y,600000,Scottsdale,1637,3,2019,3,2,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,51538,Detached,Conventional
268,None,N,588500,Tempe,1808,4,1994,4,2,1,1,Kyrene de las Manita,Kyrene del Pueblo,Desert Vista High,28,213,9222,Detached,Conventional
269,Community,N,541000,Scottsdale,1510,3,1998,2,2.5,2,2,Zuni Hills,Desert Canyon,Desert Mountain High,48,48,2321,Detached,Conventional
270,None,N,529500,Scottsdale,1152,3,1999,3,2,1,1,Pinnacle Peak,Explorer,Pinnacle,69,69,3285,Detached,Conventional
272,Private,N,1300000,Scottsdale,3021,4,1996,3,2.5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,9622,Detached,Conventional
273,Private,N,1162000,Scottsdale,2186,4,2019,3,3,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,6900,Detached,Conventional
274,Private,N,1095000,Scottsdale,2226,4,1984,4,2,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,48,48,9914,Detached,Conventional
275,Private,N,949000,Scottsdale,1689,3,1966,3,2,1,1,Navajo,Mohave,Saguaro High,48,48,8424,Detached,Conventional
276,Private,N,889000,Scottsdale,1987,3,1983,3,2,1,1,Cochise,Cocopah,Chaparral High,48,48,9903,Detached,Cash
277,Private,N,860000,Scottsdale,2332,6,1972,4,3.5,3,2,Pueblo,Mohave,Saguaro High,48,48,8145,Detached,Conventional
279,Private,N,800000,Chandler,3800,6,1990,4,3,1,1,Kyrene del Cielo,Kyrene Aprende,Corona del Sol,28,213,8825,Detached,Conventional
281,None,N,755000,Tempe,1582,4,1962,3,2,1,1,Laird,McKemy,McClintock,213,213,7139,Detached,Cash
284,Private,N,680000,Scottsdale,1971,4,1983,4,2,1,1,Desert Shadows Scott,Mountainside,Desert Mountain,48,48,12183,Detached,Cash
285,Private,N,679900,Chandler,2545,4,1998,3,2.75,2,2,Basha Elementary Sch,Bogle Junior High,Hamilton,80,80,7484,Detached,Conventional
286,Private,N,665000,Tempe,1893,4,1971,4,2,1,1,Franklin West,Carson Junior High,Westwood,4,4,9683,Detached,Conventional
287,Private,N,654000,Scottsdale,1480,3,1959,3,2,1,1,Pima,Kiva,Coronado High,48,48,6956,Detached,Conventional
288,Community,N,600000,Scottsdale,1471,3,1987,3,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,3200,Detached,Cash
290,None,N,550000,Tempe,1996,4,2006,3,2.5,2,2,Wood,Fees,Marcos De Niza,3,213,4815,Detached,Conventional
291,None,N,527000,Chandler,1676,3,1996,3,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,5510,Detached,Cash to Loan
292,None,N,501000,Chandler,1237,3,1996,3,2,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,5502,Detached,Cash
293,None,N,460000,Tempe,1522,3,1963,3,2,1,1,Carminati,Connolly,Tempe High School,3,213,8324,Detached,Cash
295,None,N,378720,Tempe,1500,4,1959,4,2,1,1,Flora Threw,Connolly,McClintock,3,213,5772,Detached,Conventional
296,Private,N,1075000,Scottsdale,2022,3,1979,3,2,1,1,Navajo,Mohave,Saguaro High,48,48,8367,Detached,Cash
297,Private,N,950000,Chandler,2443,4,2002,4,2,1,1,CTA Independence,Bogle Junior High,Hamilton,80,80,9062,Detached,Conventional
298,None,N,770000,Chandler,2921,5,2018,3,3.5,2,2,Haley Elementary,Santan Junior High,Perry,80,80,4950,Detached,Conventional
299,Private,N,675000,Scottsdale,2003,4,1966,4,2,1,1,Pueblo,Mohave,Saguaro High,48,48,7620,Detached,Cash
300,Private,N,671000,Fountain Hills,2059,4,1981,4,2.5,1,1,Fountain Hills,Fountain Hills,Fountain Hills,98,98,13691,Detached,Cash
301,Private,N,625000,Tempe,2622,5,1972,4,2.5,1,1,Curry,Connolly,McClintock,3,213,13325,Detached,Conventional
302,Private,N,515000,Tempe,1511,3,1974,3,2,1,1,Roosevelt,Powell,Westwood,4,4,7222,Detached,Conventional
303,Private,N,506000,Tempe,1422,3,1960,3,2,1,1,Holdeman,Gililland,Tempe High School,3,213,8098,Detached,Conventional
304,None,N,495000,Chandler,1827,3,1982,3,2,1,1,Sirrine,Summit Academy,Dobson,4,4,7797,Detached,Conventional
305,None,N,468000,Tempe,1668,3,1974,3,2,1,1,Curry,Connolly,McClintock,3,213,7222,Detached,Cash
306,Private,N,410000,Chandler,1161,3,1955,3,2,1,1,Hartford Sylvia Enci,Hartford Sylvia Enci,Chandler High,80,80,9524,Detached,Conventional
307,Private,Y,1499999,Scottsdale,3489,6,2003,5,4.5,2,2,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,54367,Detached,Other
309,Private,N,975000,Scottsdale,3064,6,1994,5,4,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,11217,Detached,Cash
310,Private,N,775000,Chandler,2535,4,2004,3,2,1,1,Jane D. Hull,Santan Junior High,Basha High,80,80,20356,Detached,Conventional
312,Community,N,575000,Fountain Hills,1439,3,1996,2,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,9248,Detached,Cash
313,None,N,520000,Scottsdale,1350,3,1959,3,1.75,1,1,Tonalea,Supai,Coronado High,48,48,6484,Detached,Cash
314,None,N,469000,Chandler,1237,3,1994,3,2,1,1,Frye,Willis,Hamilton,80,80,4857,Detached,Conventional
315,Private,N,1300000,Fountain Hills,3473,5,1993,4,3.5,2,2,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,12519,Detached,Conventional
316,Private,N,870000,Scottsdale,2644,6,1995,5,2.5,2,2,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,7625,Detached,Conventional
317,None,N,690000,Tempe,1887,3,1960,3,2,1,1,Broadmor Elementary,McKemy,Tempe High School,3,213,10263,Detached,Cash
318,Private,Y,1399000,Scottsdale,3799,5,2005,4,3.5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,43560,Detached,Conventional
319,None,N,910000,Fountain Hills,2329,3,1996,3,3,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,16670,Detached,Conventional
320,Community,N,805000,Scottsdale,2000,3,1990,3,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,7560,Detached,Conventional
321,None,N,615000,Scottsdale,1800,3,1971,3,2,1,1,Pima,Supai,Coronado High,48,48,8220,Detached,Cash
322,Private,N,575000,Chandler,1827,3,1983,3,2,1,1,Sirrine,Summit Academy,Dobson,4,4,9008,Detached,Conventional
323,None,N,520000,Chandler,1656,3,1990,3,2.5,2,1,Kyrene Aprende,Kyrene Aprende,Corona del Sol,28,213,4713,Detached,Cash
324,None,N,475000,Chandler,1377,3,1993,3,2,1,1,Dr. Howard K. Conley,Bogle Junior High,Chandler High,80,80,6595,Detached,Cash
325,Private,N,1350000,Scottsdale,4764,8,1997,5,3.5,3,2,Copper Canyon,Explorer,Pinnacle,69,69,11424,Detached,Cash
326,Private,Y,1275000,Scottsdale,3283,6,1967,6,4,1,1,Sequoya,Cocopah,Chaparral High,48,48,35330,Detached,Other
328,Private,N,949000,Chandler,3458,5,1996,4,3.5,2,2,Basha Elementary Sch,Bogle Junior High,Hamilton,80,80,10258,Detached,Conventional
329,Private,N,800000,Scottsdale,1519,3,1987,3,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,7001,Detached,Cash
331,Private,N,649000,Scottsdale,1416,3,1960,3,2,1,1,Navajo,Mohave,Saguaro High,48,48,6825,Detached,Cash
332,Private,N,625000,Chandler,2204,4,1985,3,2,1,1,Pomeroy,Hendrix,Dobson,4,4,9252,Detached,Conventional
333,Private,N,615000,Chandler,2032,3,2003,3,2,1,1,Ira A. Fulton,Santan Junior High,Hamilton,80,80,7040,Detached,Conventional
335,Private,N,590000,Chandler,1675,3,1995,3,2,1,1,Rudy G. Bologna,John M Andersen Jr H,Chandler High,80,80,7214,Detached,Conventional
336,Private,N,570000,Chandler,1870,5,1980,4,2,1,1,Sirrine,Summit Academy,Dobson,4,4,9753,Detached,Conventional
337,Private,N,551000,Tempe,1669,3,1984,3,2,1,1,Kyrene de los Ninos,Kyrene Middle,Marcos De Niza,28,213,8891,Detached,Cash
338,Community,N,522000,Scottsdale,1126,4,1964,3,2,1,1,Navajo,Mohave,Saguaro,48,48,112,Attached,Conventional
339,Community,N,497500,Chandler,1511,3,1985,3,2,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,8995,Detached,Conventional
340,None,N,475000,Chandler,1406,3,1997,3,2,1,1,Rudy G. Bologna,San Tan,Perry,80,80,6347,Detached,Conventional
341,Both,N,1445000,Scottsdale,2621,3,1999,2,2.5,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,9175,Detached,Cash
342,Community,N,1125000,Scottsdale,1974,3,1997,3,2,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,9821,Detached,Conventional
344,None,N,1010000,Chandler,3194,5,2018,4,3.5,1,1,John & Carol Carlson,Willie & Coy Payne J,Basha High,80,80,10580,Detached,Conventional
346,Community,N,977500,Scottsdale,1790,4,1997,3,3,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,7871,Detached,Cash
347,Both,N,930000,Scottsdale,2632,4,1990,3,2.5,2,2,Redfield Elementary,Desert Canyon,Desert Mountain High,48,48,5885,Detached,Conventional
348,Private,N,925000,Scottsdale,1941,4,1988,4,2,1,1,Copper Canyon,Sunrise Middle,Horizon School,69,69,11026,Detached,Cash
349,Private,N,925000,Scottsdale,2213,4,1983,4,2,1,1,Liberty Scottsdale,Sunrise,Horizon,69,69,10575,Detached,Conventional
350,Private,N,905000,Chandler,3698,6,2010,5,3,2,2,San Tan,Santan Junior High,Perry,80,80,9457,Detached,Conventional
352,Private,N,850000,Chandler,3864,6,2005,5,3.5,1,1,Audrey and Robert Ry,Santan Junior High,Perry,80,80,10602,Detached,Conventional
353,None,N,790000,Scottsdale,1949,4,2016,4,2,1,1,Tavan,Ingleside,Arcadia High,48,48,5914,Detached,Conventional
354,Private,N,775000,Chandler,3367,6,2000,5,2.75,2,2,Jane D. Hull,Santan Junior High,Basha High,80,80,13586,Detached,Conventional
355,Private,N,770000,Chandler,2531,5,2005,4,3,1,1,Haley Elementary,Santan Junior High,Perry,80,80,9146,Detached,Conventional
356,None,N,735000,Chandler,2520,5,2019,4,2.5,1,1,Jane D. Hull,Santan Elementary,Basha High,80,80,7014,Detached,Cash
357,Private,N,725000,Chandler,2417,4,1998,4,2,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,7457,Detached,Conventional
358,Private,N,725000,Tempe,2079,3,1984,3,2,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,8912,Detached,Conventional
359,Private,N,640000,Chandler,1712,3,2018,3,2,1,1,Basha Elementary Sch,Santan Junior High,Hamilton,80,80,5823,Detached,Conventional
360,Private,N,627000,Tempe,2135,4,1982,4,2,1,1,Kyrene de los Ninos,Kyrene De Los Ninos,Marcos De Niza,28,213,7823,Detached,Conventional
361,Private,N,610000,Chandler,2093,4,1984,4,2.5,2,2,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,8603,Detached,Conventional
362,None,Y,599000,Scottsdale,1904,4,1994,3,2,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,47959,Detached,Conventional
363,Private,N,585000,Chandler,2144,4,1996,4,2.5,2,2,Kyrene de la Paloma,Kyrene del Pueblo,Mountain Pointe,28,213,6029,Detached,Conventional
365,None,N,562000,Scottsdale,1229,3,1985,3,2,1,1,Sandpiper,Desert Shadows,Horizon,69,69,7297,Detached,Other
366,None,N,535000,Chandler,1763,5,1995,4,2,1,1,Sanborn,Willis,Chandler High,80,80,6900,Detached,Conventional
367,Community,N,445000,Tempe,1574,4,1998,3,2.5,2,2,Wood,Fees,Marcos De Niza,3,213,4465,Detached,Cash
370,Private,N,975000,Scottsdale,4211,8,1988,5,3.5,3,2,Whispering Wind,Sunrise,Horizon,69,69,8591,Detached,Cash
373,Private,N,765000,Tempe,2001,4,1956,4,3,1,1,Broadmor Elementary,McKemy,Tempe High School,3,213,9113,Detached,Conventional
374,Community,N,750000,Chandler,2404,4,2016,4,3,2,2,Ira A. Fulton,Bogle Junior High,Hamilton,80,80,5869,Detached,Conventional
375,Private,N,745000,Tempe,2012,4,1962,3,2,1,1,Holdeman,Gililland,Tempe High School,3,213,8054,Detached,Conventional
377,Private,N,675100,Fountain Hills,1720,3,1996,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,7998,Detached,Cash
378,Private,N,670000,Tempe,1999,3,1983,3,2,1,1,Kyrene del Cielo,Kyrene Aprende,Corona del Sol,28,213,8982,Detached,Conventional
379,None,N,665000,Scottsdale,1714,3,1977,3,2,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,10508,Detached,Conventional
380,Private,N,634000,Tempe,2181,4,1989,4,2,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,8999,Detached,Conventional
381,None,N,575000,Fountain Hills,1342,3,1986,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,11304,Detached,Conventional
382,Community,N,549000,Chandler,1928,4,2018,3,2.5,2,2,Haley Elementary,Willie & Coy Payne J,Perry,80,80,2613,Detached,Conventional
383,None,N,509500,Tempe,1615,4,1975,4,2,1,1,Aguilar,Fees,Marcos De Niza,3,213,6347,Detached,Conventional
384,Community,N,495000,Chandler,1495,4,2016,3,2,1,1,Haley Elementary,Santan Junior High,Perry,80,80,5000,Detached,Cash
385,None,N,470000,Chandler,1396,3,1994,3,2,1,1,CTA Humphrey,Willis,Hamilton,80,80,7732,Detached,Cash
386,None,N,465000,Chandler,1216,3,1983,3,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,7318,Detached,Conventional
387,None,N,465000,Tempe,1572,4,1984,4,2.5,1,1,Kyrene de los Ninos,Kyrene Middle,Marcos De Niza,28,213,7462,Detached,Cash
388,None,N,450000,Chandler,1326,3,1989,3,2,2,2,Kyrene del Sureno,Kyrene del Pueblo,Corona del Sol,28,213,5606,Detached,Conventional
389,None,N,440000,Chandler,1758,4,1951,3,1,1,1,Galveston,Willis,Chandler High,80,80,10167,Detached,Conventional
390,Private,N,1179000,Scottsdale,3117,4,1978,4,3,1,1,Mohave,Cocopah,Saguaro High,48,48,7758,Detached,Cash
391,Private,N,1100000,Scottsdale,2082,4,1976,3,2,1,1,Kiva,Mohave,Saguaro High,48,48,9698,Detached,Conventional
392,Private,N,1055000,Scottsdale,2168,5,1962,4,3,3,3,Pueblo,Mohave,Saguaro,48,48,7757,Detached,Conventional
393,Private,N,1030000,Scottsdale,3009,5,1992,5,3,2,2,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,13445,Detached,Conventional
394,None,N,908000,Scottsdale,2478,4,1999,4,2,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,8965,Detached,Cash
395,Private,N,885000,Chandler,2897,5,2003,4,2.5,2,2,Ira A. Fulton,Santan Junior High,Hamilton,80,80,8685,Detached,Conventional
398,None,N,825000,Chandler,2672,6,2005,4,3,1,1,Haley Elementary,Santan Junior High,Perry,80,80,11116,Detached,Conventional
399,None,N,750000,Fountain Hills,2106,3,1981,3,2.5,1,1,Foothills Phoenix,Fountain Hills Middl,Fountain Hills,98,98,14711,Detached,Conventional
400,Private,N,748000,Scottsdale,1731,4,1968,3,2,1,1,Pima,Tonalea,Coronado High,48,48,9913,Detached,Cash
402,None,N,700000,Scottsdale,1591,4,1963,4,2,1,1,Pueblo,Mohave,Saguaro High,48,48,7200,Detached,Cash
403,None,N,698250,Scottsdale,1938,3,1978,3,2,1,1,Cochise,Cocopah,Chaparral High,48,48,7279,Detached,Conventional
404,Private,N,676500,Chandler,1940,4,1995,3,2,1,1,Kyrene de las Manita,Kyrene del Pueblo,Mountain Pointe,28,213,8529,Detached,Cash
405,None,N,673000,Scottsdale,1929,3,1984,3,2,1,1,Desert Springs,Desert Shadows Scott,Horizon,69,69,10016,Detached,Cash
406,None,N,520000,Chandler,1842,4,2003,4,2,1,1,Navarrete,Willie & Coy Payne J,Basha High,80,80,7410,Detached,Conventional
407,Private,N,518000,Chandler,1463,4,1980,3,2,1,1,Sirrine,Summit Academy,Dobson,4,4,6909,Detached,Conventional
408,Community,N,468000,Chandler,1356,3,1986,3,2,1,1,Kyrene de las Brisas,Kyrene Aprende,Corona del Sol,28,213,4269,Detached,Cash
409,None,N,460000,Chandler,1452,3,1982,3,2,1,1,Sirrine,Hendrix,Dobson,4,4,7100,Detached,Cash
410,None,N,315000,Chandler,1678,2,1942,2,1,1,1,Galveston,Willis,Chandler High,80,80,7536,Detached,Cash
411,None,N,285000,Chandler,800,2,1930,2,1,1,1,Galveston,Willis,Chandler High,80,80,7527,Detached,Cash
412,Private,N,970970,Scottsdale,2008,4,1977,4,2.5,1,1,Desert Shadows,Sunrise Middle,Horizon School,69,69,12118,Detached,Conventional
413,Private,N,800000,Scottsdale,1485,3,1984,3,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,7094,Detached,Conventional
414,Private,N,780000,Tempe,3207,5,1994,5,3,3,2,Kyrene del Norte,Kyrene De La Colina,Marcos De Niza,28,28,9270,Detached,Conventional
416,Private,N,700000,Scottsdale,2404,3,1987,3,2.5,2,2,Anasazi Elementary,Mountainside,Desert Mountain,48,48,5069,Detached,Cash
419,None,N,575000,Scottsdale,1290,3,1960,3,2,1,1,Navajo,Mohave,Saguaro High,48,48,6628,Detached,Cash
420,None,N,574900,Fountain Hills,1828,3,1994,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,7876,Detached,Conventional
421,Private,N,530000,Tempe,1509,3,1995,3,2.5,2,2,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,4953,Detached,Cash
422,Private,N,525000,Chandler,1604,3,1982,3,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,7597,Detached,Conventional
423,Community,N,519000,Chandler,1677,3,1999,3,2,1,1,Adult,Adult,Adult,80,80,11056,Detached,Cash
424,None,N,491300,Tempe,1382,4,1979,4,2,1,1,Wood,Fees,Marcos De Niza,3,3,9291,Detached,Cash
425,Private,N,1450000,Scottsdale,2746,4,2000,3,2.5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,19775,Detached,Cash
426,Community,N,830000,Scottsdale,1764,3,1984,3,2,1,1,Cochise,Cocopah,Chaparral High,48,48,5081,Detached,Cash
429,Private,N,470000,Tempe,1402,3,1971,3,2,1,1,Aguila,Fees,Marcos De Niza,3,213,7314,Detached,Cash
430,Private,N,1275000,Scottsdale,3484,6,1995,5,3.5,2,1,Liberty Scottsdale,Sunrise,Horizon School,69,69,10566,Detached,Cash
431,Private,N,1025000,Scottsdale,1937,4,1979,4,2,1,1,Cochise,Cocopah,Chaparral High,48,48,9598,Detached,Conventional
432,Private,N,781500,Scottsdale,1792,4,1967,4,2,1,1,Pima,Supai,Coronado High,48,48,9602,Detached,Cash
434,None,N,600000,Tempe,2302,5,1963,4,2.75,1,1,Carminati,Connolly,Tempe High School,3,213,9710,Detached,Cash
436,None,N,425000,Chandler,1235,2,1979,2,2,1,1,Pomeroy,Hendrix,Dobson,4,4,7157,Detached,Conventional
437,None,N,403000,Chandler,1312,3,1954,3,2,1,1,Hartford Sylvia Enci,John M Andersen Jr H,Chandler High,80,80,7553,Detached,Cash
438,None,N,1500000,Scottsdale,2588,3,2016,2,3,1,1,Black Mountain,Sonoran Trails,Cactus High,93,93,6703,Detached,Cash
440,Private,N,1175000,Scottsdale,2210,4,1979,4,2,1,1,Cochise,Cocopah,Chaparral High,48,48,9360,Detached,Conventional
441,Both,N,1095000,Scottsdale,2936,4,1999,4,2.5,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,12894,Detached,Conventional
442,Private,N,990000,Scottsdale,3016,4,1994,4,3,1,1,Pinnacle Peak,Mountain Trail,Desert Mountain,69,69,32503,Detached,Conventional
443,Private,N,925000,Scottsdale,2786,4,1996,4,2.5,1,1,Anasazi Elementary,Mountainside,Mountainside,48,48,9375,Detached,Conventional
444,Both,N,900000,Scottsdale,2090,3,1996,2,2.5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,6126,Detached,Conventional
445,Private,N,875000,Scottsdale,1980,3,1986,3,2,1,1,North Ranch,Desert Shadows,Horizon School,69,69,8781,Detached,Other
446,Private,N,770000,Scottsdale,1888,4,1956,4,3,1,1,Hohokam Scottsdale,Tonalea,Coronado High,48,48,6896,Detached,Cash
447,Private,N,715000,Tempe,1512,3,1960,3,2,1,1,Laird,Laird,McClintock,3,213,7597,Detached,Conventional
448,Private,N,670000,Scottsdale,1440,3,1988,3,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,49,48,8797,Detached,Cash
449,Private,N,659999,Scottsdale,1534,3,1978,3,2,1,1,Coronado,Supai,Coronado,48,48,5007,Detached,Conventional
450,Private,N,625000,Fountain Hills,2046,5,1988,3,2.5,2,2,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,9997,Detached,Conventional
452,None,N,601000,Scottsdale,1248,3,1983,3,2,1,1,North Ranch,Desert Shadows Scott,Horizon School,69,69,8305,Detached,Cash
453,None,N,600000,Scottsdale,1517,3,1960,3,2,1,1,Tonalea,Supai,Coronado,48,48,6365,Detached,Conventional
454,None,N,595000,Scottsdale,1567,3,1959,3,2,1,1,Hohokam Scottsdale,Tonalea,Coronado High,48,48,8496,Detached,Cash
455,Private,N,575000,Tempe,1714,4,1971,4,2,1,1,Roosevelt,Rhodes,Dobson,4,4,8668,Detached,Other
456,None,N,525000,Chandler,1825,3,1985,3,2,1,1,Kyrene de la Mirada,Kyrene del Pueblo,Mountain Pointe,28,213,8568,Detached,Conventional
458,None,N,495000,Chandler,1478,3,1995,3,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,4770,Detached,Conventional
460,Community,N,450000,Chandler,1356,3,1986,3,2,1,1,Kyrene de las Brisas,Kyrene Aprende,Corona del Sol,28,213,4251,Detached,Cash
